Date,LeanHogs,Ehog,Khog
2015/11/2 0:00,-0.016606726,0.000320441,0.038678855
2015/11/3 0:00,0,-0.005654815,0.050208696
2015/11/4 0:00,-0.014706147,-0.035217909,0.0102565
2015/11/5 0:00,-0.035029075,0.00086739,0.012674441
2015/11/6 0:00,-0.007246409,-0.011874951,0.024876905
2015/11/9 0:00,-0.023454743,0.001887938,0.007343974
2015/11/10 0:00,-0.003262646,-0.004861918,0.019324273
2015/11/11 0:00,0.047856021,-0.010137176,0.021302581
2015/11/12 0:00,-0.001336006,0.004639113,0.007001195
2015/11/13 0:00,-0.023445619,-0.004912674,-0.007001195
2015/11/16 0:00,-0.056300045,-0.003014114,-0.004694844
2015/11/17 0:00,0.044829398,-0.004400447,0.014018921
2015/11/18 0:00,0.003684942,-0.032709433,-0.006984895
2015/11/19 0:00,0.018675104,0.008013375,0.018519048
2015/11/20 0:00,0.036335411,-0.007088207,-0.02085823
2015/11/23 0:00,0,-0.002849411,-0.021302581
2015/11/24 0:00,-0.003924138,0.002564835,0.025975486
2015/11/25 0:00,0.027150989,-0.0299004,-0.016451605
2015/11/27 0:00,-0.001276324,0.06630108,-0.066119549
2015/11/30 0:00,-0.00512165,-0.003780723,0.025001302
2015/12/1 0:00,0.025767001,0.005289019,0.048202102
2015/12/2 0:00,-0.01005876,-0.09984191,-0.007083855
2015/12/3 0:00,-0.016992762,0.029536753,0.004728141
2015/12/4 0:00,-0.022531282,-0.003017926,-0.002361276
2015/12/7 0:00,-0.027995607,-0.001696979,-0.002366865
2015/12/8 0:00,-0.002707583,0.003464675,-0.009523882
2015/12/9 0:00,0.02543077,0.010468234,-0.01203384
2015/12/10 0:00,-0.009294159,-0.005110619,-0.007290433
2015/12/11 0:00,-0.004009807,0.00430925,-0.027195743
2015/12/14 0:00,-0.008068175,0.001893113,-0.012610508
2015/12/15 0:00,0.058981933,-0.008327294,0
2015/12/16 0:00,-0.017548064,0.00022003,-0.017926216
2015/12/17 0:00,-0.037391644,0.068719049,-0.036846273
2015/12/18 0:00,0.015124843,0.001641812,-0.013495481
2015/12/21 0:00,-0.003095293,0.006879902,-0.016438726
2015/12/22 0:00,0.00706093,0.005416031,-0.019526422
2015/12/23 0:00,0.016139936,-0.086698391,-0.031476132
2015/12/29 0:00,0.000422744,-0.003950261,0.036367644
2015/12/30 0:00,0.010510923,-0.001907557,-0.005970167
2016/1/5 0:00,0.027796853,-0.006688491,0.028573372
2016/1/6 0:00,-0.004510978,0.000819886,-0.02279301
2016/1/7 0:00,-0.021184593,0.009934102,-0.005780363
2016/1/8 0:00,0.005025136,0.002357797,0.034191365
2016/1/11 0:00,-0.002509412,-0.000662569,0.00836825
2016/1/12 0:00,0.036188159,-0.003836794,-0.005571045
2016/1/13 0:00,-0.004452547,0.008172326,-0.005602256
2016/1/14 0:00,0.01169604,0.001026017,0.030431117
2016/1/15 0:00,-0.005226143,0.008243108,0.010840215
2016/1/19 0:00,0.013213405,-0.002109015,0.008053735
2016/1/20 0:00,-0.001990843,0.020036706,-0.016172859
2016/1/21 0:00,0.016209092,0.05105065,0
2016/1/22 0:00,-0.011834458,-0.002851907,0
2016/1/25 0:00,0.008298803,0.001630657,0
2016/1/26 0:00,0.012514829,0.00122125,0.016172859
2016/1/27 0:00,0.016191564,0.002573307,-0.005361943
2016/1/28 0:00,-0.001147886,0.006673207,-0.027249642
2016/1/29 0:00,0.007627802,-0.009382135,-0.03657229
2016/2/1 0:00,-0.006862398,0.004465803,0.002861232
2016/2/2 0:00,-0.017754229,0.001753795,-0.014388737
2016/2/3 0:00,0.005436907,-0.027882085,-0.035401927
2016/2/4 0:00,0.008868383,0.011780647,-0.015128882
2016/2/5 0:00,-0.005002897,-0.005218717,-0.030962226
2016/2/12 0:00,0.00646513,-0.007427885,0.059672331
2016/2/16 0:00,0.061738927,-0.009760198,-0.04044097
2016/2/17 0:00,0.014154518,-0.003113004,-0.016000341
2016/2/18 0:00,-0.005284494,-0.002705798,-0.032789823
2016/2/19 0:00,-0.026849653,0.00124974,0.013245227
2016/2/22 0:00,0.005066967,-0.00913121,0.009820046
2016/2/23 0:00,0.010057556,-0.000630407,0.022545238
2016/2/24 0:00,0.021567037,-0.001262007,-0.016051709
2016/2/25 0:00,-0.004908846,0.028221544,0.003231021
2016/2/26 0:00,-0.003873926,-0.010558891,0.009630893
2016/2/29 0:00,-0.012426931,-0.004559593,0.031449133
2016/3/3 0:00,0.004273511,0.008537784,0.021053409
2016/3/4 0:00,0.006376217,0.004672066,0.046520016
2016/3/7 0:00,-0.010649728,0.002148998,-0.002844952
2016/3/8 0:00,-0.003933493,-0.000214692,0.005681833
2016/3/9 0:00,0.032778265,-0.024635357,0.008462674
2016/3/10 0:00,0.001039681,0.014853921,-0.008462674
2016/3/11 0:00,-0.004861121,-0.003402718,0.002828856
2016/3/14 0:00,-0.014726774,-0.00640235,-0.011363759
2016/3/15 0:00,-0.000706714,0.002332873,0.019802627
2016/3/16 0:00,0.00809721,0.009565984,0.011142177
2016/3/17 0:00,0,0.020982785,0.043367229
2016/3/18 0:00,0.002101577,-0.00382112,-0.010666768
2016/3/21 0:00,-0.029831758,-0.002342337,-0.010781776
2016/3/22 0:00,0.01146966,-0.002490307,0.029374609
2016/3/23 0:00,-0.006794233,0.032865656,-0.013245227
2016/3/24 0:00,-0.000717875,0.080880206,0
2016/3/30 0:00,-0.019041351,0.004786808,0.002635048
2016/3/31 0:00,-0.008377394,0.005451654,0.025975486
2016/4/1 0:00,-0.008079368,0.000936944,0.020305266
2016/4/4 0:00,-0.001845359,0.000249703,-0.012642393
2016/4/5 0:00,-0.004442806,0.000124828,0.010126669
2016/4/6 0:00,0.001853569,-0.079060228,-0.005050516
2016/4/7 0:00,-0.005571045,-0.003382953,-0.015306421
2016/4/8 0:00,-0.004479291,0.002707277,0.002567396
2016/4/11 0:00,-0.007133501,0.000608129,0.012739026
2016/4/12 0:00,0.003760817,-0.003315406,0.012578782
2016/4/15 0:00,0.107752861,0.002910807,-0.0051414
2016/4/18 0:00,0.006030169,0.002419217,-0.007762005
2016/4/19 0:00,0.017875352,0.004477362,0.033208671
2016/4/20 0:00,0.013361776,-0.008212323,-0.015190165
2016/4/21 0:00,-0.002593194,0.095996597,-0.01542447
2016/4/22 0:00,-0.017351884,-0.006631952,-0.00780238
2016/4/25 0:00,-0.010290547,0.003795071,-0.007863736
2016/4/26 0:00,-0.002004009,0.00258504,0.020834087
2016/4/27 0:00,0.023460518,0.002578375,0.00770222
2016/4/28 0:00,0.010073196,0.001129873,0.017744445
2016/4/29 0:00,0.007408634,0.009055487,0.027263151
2016/5/2 0:00,0.006716801,0.00730925,0.009732437
2016/5/3 0:00,0.000637349,0.000246837,0.002418381
2016/5/4 0:00,-0.014116372,-0.002594836,-0.039413969
2016/5/10 0:00,0.007853444,-0.000812018,0.020305266
2016/5/11 0:00,0.002279018,-0.054973712,0.036995588
2016/5/12 0:00,0.000650195,-0.004035331,0.002418381
2016/5/13 0:00,-0.000975451,-0.00805302,0.012004946
2016/5/16 0:00,0.077286297,0.003002504,0.004761914
2016/5/17 0:00,-0.003317753,0.000333056,0.021152375
2016/5/18 0:00,-0.018600933,0.039758492,-0.00232829
2016/5/19 0:00,-0.009898008,-0.006485399,-0.00936775
2016/5/20 0:00,-0.007175198,0.000450842,0.016336419
2016/5/23 0:00,-0.009753105,-0.000257599,0
2016/5/24 0:00,0.007559091,-0.005489729,0.011507607
2016/5/25 0:00,0.006255885,0.018098299,0.00911168
2016/5/26 0:00,0.004666364,-0.000636213,0.004524895
2016/5/27 0:00,-0.000310414,-0.003442564,0.017897569
2016/5/31 0:00,0.000620732,0.000127714,0.004424786
2016/6/1 0:00,0.007110866,0.017281645,0.023992427
2016/6/2 0:00,0.010724785,-0.001633064,0.038059562
2016/6/3 0:00,0.003347029,0.01515984,0.028631813
2016/6/8 0:00,0.002440514,0.042224866,0.007952328
2016/6/9 0:00,0.007588441,-0.007073889,-0.003968259
2016/6/10 0:00,-0.004849964,-0.003585733,-0.014014243
2016/6/13 0:00,-0.005484474,0.00053868,-0.00404041
2016/6/14 0:00,-0.001834863,-0.006362948,0.014070584
2016/6/15 0:00,0.061146641,0.020975623,0
2016/6/16 0:00,0.002875218,-0.002775401,-0.012048339
2016/6/17 0:00,-0.010389704,0.005366686,-0.004048589
2016/6/20 0:00,0.002896873,0.004225854,0.010090903
2016/6/21 0:00,-0.002606808,-0.004931903,-0.00806456
2016/6/22 0:00,-0.020214545,0.013098071,-0.016326893
2016/6/23 0:00,-0.002370371,-0.075512109,-0.014508026
2016/6/24 0:00,-0.002673401,-0.016613881,-0.040474108
2016/6/27 0:00,-0.010765654,-0.011531936,-0.053584246
2016/6/28 0:00,0,0.001416613,-0.049363723
2016/6/29 0:00,-0.000601504,0.113735361,-0.041826515
2016/6/30 0:00,-0.003012958,-0.002242218,0
2016/7/1 0:00,-0.002114485,0.005739226,0.051418915
2016/7/5 0:00,-0.007588441,-0.004243856,0.078021206
2016/7/6 0:00,-0.005805975,0.022615885,-0.03595893
2016/7/7 0:00,-0.006456594,-0.002249973,0.020385757
2016/7/8 0:00,-0.012414809,-0.000845047,0
2016/7/11 0:00,-0.005323326,-0.000169095,-0.00224467
2016/7/12 0:00,0.004073325,0.003545006,0.00224467
2016/7/13 0:00,0.002810306,0.017594129,0
2016/7/14 0:00,0.001557875,0.000331089,0.011148387
2016/7/15 0:00,-0.003742986,-0.004589828,-0.054683326
2016/7/18 0:00,-0.027563918,0.000831048,-0.002344667
2016/7/19 0:00,-0.006122139,-0.005163666,-0.002350177
2016/7/20 0:00,-0.014979114,0.011457161,0.00936775
2016/7/21 0:00,-0.023233704,-0.024963686,-0.01408474
2016/7/22 0:00,0.011020315,-0.003730926,-0.019093659
2016/7/25 0:00,0.005299781,0.001810672,-0.026863642
2016/7/26 0:00,-0.014307348,0.000113058,0.017178337
2016/7/27 0:00,-0.039998495,0.024180991,-0.027128667
2016/7/28 0:00,-0.040211787,0.007694882,0.019802627
2016/7/29 0:00,0.001813895,0.007310054,0.019418086
2016/8/1 0:00,-0.004722988,0.001249355,-0.016970104
2016/8/2 0:00,0.003997825,0.004657721,0.036018299
2016/8/3 0:00,-0.008377394,-0.001947104,0.025612576
2016/8/4 0:00,-0.009555383,-0.003253623,0.029447201
2016/8/5 0:00,-0.003699597,-0.004518367,0.017699577
2016/8/8 0:00,-0.005202539,-0.000982586,0.006557401
2016/8/9 0:00,-0.002611455,0.00234569,-0.004366819
2016/8/10 0:00,0.002983963,0.003318196,-0.024364439
2016/8/11 0:00,0.001116695,-0.00076058,-0.00449439
2016/8/12 0:00,-0.000744325,0.000869187,0.006734032
2016/8/17 0:00,0.019032432,-0.000269099,-0.018779895
2016/8/18 0:00,-0.004930166,0.005046991,0.007083855
2016/8/19 0:00,0.019980277,-0.159700183,-0.002355714
2016/8/22 0:00,-0.012594113,0,0.007050558
2016/8/23 0:00,-0.010273359,0.10051719,0.013953715
2016/8/24 0:00,-0.003309891,-0.004327779,0.020572154
2016/8/25 0:00,-0.027306885,0.000798631,0.011248713
2016/8/26 0:00,0.043747863,-0.003827811,-0.024916351
2016/8/29 0:00,0.000814996,-0.005222543,-0.004597709
2016/8/30 0:00,0.010937926,-0.002246609,0.05382465
2016/8/31 0:00,0.012810423,0.00063417,0.01085787
2016/9/1 0:00,0.007529261,0.003566912,-0.004329011
2016/9/2 0:00,-0.041513114,-0.003163558,0.004329011
2016/9/6 0:00,-0.030501633,0.007003875,0.068848873
2016/9/7 0:00,0.032557133,0.057253756,0.002014099
2016/9/8 0:00,0.002051283,0.001187841,-0.01827462
2016/9/9 0:00,-0.029530114,-0.002701682,-0.035457312
2016/9/12 0:00,0.003371263,0.001891944,-0.019293203
2016/9/13 0:00,-0.046059357,-0.000108015,-0.015267472
2016/9/20 0:00,0.011314898,-0.001029559,0.010718216
2016/9/21 0:00,-0.020459909,0.012660102,-0.070669573
2016/9/22 0:00,-0.004142699,-0.168266616,0.002285715
2016/9/23 0:00,-0.003696862,0.000316666,-0.04434799
2016/9/26 0:00,-0.017749182,0.001897894,-0.053934639
2016/9/27 0:00,-0.025777084,-0.003038362,0.077520638
2016/9/28 0:00,0,-0.000887931,-0.021202208
2016/9/29 0:00,0.006266591,0.001268231,-0.024097552
2016/9/30 0:00,-0.059394,0.000443501,-0.009804
2016/10/5 0:00,-0.008260243,0.185609451,-0.029296369
2016/10/6 0:00,0.043617461,-0.00401883,0.031917603
2016/10/7 0:00,0.005937672,0.000635627,0.005221944
2016/10/10 0:00,0,-0.002120329,-0.013106348
2016/10/11 0:00,0.01517777,-0.006761999,0.002635048
2016/10/12 0:00,0.017818916,-0.03661699,0
2016/10/13 0:00,0.004761914,0.000886279,0.036179657
2016/10/14 0:00,-0.000475172,-0.004050049,0
2016/10/17 0:00,-0.234615952,0.000555772,0.017610518
2016/10/18 0:00,-0.011483958,-0.001000612,-0.00500001
2016/10/19 0:00,0.001215067,-0.036244058,0.034486176
2016/10/20 0:00,-0.001823155,-0.002078283,-0.012180419
2016/10/21 0:00,0.018083675,-0.023091664,-0.007380107
2016/10/24 0:00,0.031748698,0.000354778,-0.01492565
2016/10/25 0:00,0.032453745,0.001240732,0.00500001
2016/10/26 0:00,-0.009569451,0.001887683,-0.00249688
2016/10/27 0:00,0.026236504,-0.001828639,-0.025317808
2016/10/28 0:00,0.03092191,0.004418399,-0.015504187
2016/10/31 0:00,0.024275598,0.002055258,0.015504187
2016/11/1 0:00,-0.031782336,0.008469924,0.052446475
2016/11/2 0:00,0.02917205,0.004005462,0
2016/11/3 0:00,-0.017400914,-0.0236243,-0.019656653
2016/11/4 0:00,-0.018250641,0.000177941,0.041318149
2016/11/7 0:00,0.02037604,-0.006485609,0.009478744
2016/11/8 0:00,-0.002657456,-0.001792436,0.002355714
2016/11/9 0:00,-0.009088542,-0.007684033,-0.021403909
2016/11/10 0:00,0.01756766,-0.004348358,-0.031748698
2016/11/11 0:00,-0.005291018,-0.002848746,-0.022585653
2016/11/14 0:00,-0.00478597,-0.010310942,-0.023107575
2016/11/15 0:00,-0.016662573,-0.001472935,-0.015707129
2016/11/16 0:00,0.040366606,-0.003445309,0.026043139
2016/11/17 0:00,-0.012045184,-0.005624068,-0.015544354
2016/11/18 0:00,0.007349114,-0.004721385,-0.013140794
2016/11/21 0:00,0.04048721,0.001866369,-0.005305052
2016/11/22 0:00,-0.009588769,0.001800851,0.015831465
2016/11/23 0:00,0.009086383,-0.001179502,-0.018494583
2016/11/25 0:00,0.025795081,0.032511265,-0.016129382
2016/11/28 0:00,-0.012318461,-0.000781978,0.032002731
2016/11/29 0:00,-0.001488465,0.003963731,0.007843177
2016/11/30 0:00,0.01331709,-0.002640741,-0.031748698
2016/12/1 0:00,-0.015802798,0.002460912,0.018642351
2016/12/2 0:00,0.010398707,0.004724748,0.026043139
2016/12/5 0:00,0.01467019,0.008555185,0.007682496
2016/12/6 0:00,0.035760664,-0.005100539,-0.007682496
2016/12/7 0:00,0.024521238,-0.000832788,0.012771566
2016/12/8 0:00,0.017667504,-0.012696302,-0.00508907
2016/12/9 0:00,0.018683818,-0.006469775,-0.01542447
2016/12/12 0:00,0.011393638,0.009598915,-0.005194817
2016/12/13 0:00,-0.003491928,-0.001683705,0.010362787
2016/12/14 0:00,0.011736714,0.020668415,0.002574004
2016/12/15 0:00,0.075711822,-0.023018309,-0.036653318
2016/12/23 0:00,-0.023843224,0.000582204,-0.014430265
2016/12/27 0:00,0.024229399,0.000775745,0.008683123
2016/12/28 0:00,0.005390849,-0.006938393,-0.020379162
2016/12/29 0:00,-0.006936444,0.00848808,0.023256862
2017/1/4 0:00,0.017174505,0.00433223,0.020888488
2017/1/5 0:00,0.004247931,0.011929336,0.017926216
2017/1/6 0:00,-0.013969959,-0.004536894,-0.01020417
2017/1/9 0:00,-0.003523198,0.001983429,-0.01030937
2017/1/10 0:00,0.020187021,-0.000959233,-0.002594035
2017/1/11 0:00,0.008419491,0.031116701,0.018018506
2017/1/12 0:00,0.005321183,0.008460758,0.010152371
2017/1/13 0:00,-0.005321183,-0.001107556,0.015037877
2017/1/17 0:00,0.003044142,0.005770427,0.004962789
2017/1/18 0:00,-0.009160369,0.010230891,-0.022529113
2017/1/19 0:00,0.003444979,-0.00479792,-0.015306421
2017/1/20 0:00,-0.001912412,0.004070603,0.012771566
2017/1/23 0:00,-0.004604766,0.004838817,-0.012771566
2017/1/24 0:00,0.003455561,0.002831924,-0.031334156
2017/1/25 0:00,0.034655069,-0.022083204,-0.013351333
2017/1/26 0:00,-0.025118471,-0.007408813,-0.002691792
2017/2/1 0:00,0.005054162,0.006366329,0.050341755
2017/2/2 0:00,0.01323575,0.003228855,0.012837147
2017/2/3 0:00,-0.000355429,-0.000365008,0
2017/2/6 0:00,0.01446999,-0.004573876,0.020202707
2017/2/7 0:00,0.014263592,-0.003981019,0.00249688
2017/2/8 0:00,0.013381569,0.010257126,0.024631787
2017/2/9 0:00,0.011858516,-0.00377313,-0.002436055
2017/2/10 0:00,0.004369021,-0.002136296,-0.024692613
2017/2/13 0:00,0.002679171,-0.003611549,-0.007528266
2017/2/14 0:00,0.005669517,-0.002886359,0.017478597
2017/2/15 0:00,-0.060312898,-0.012625493,-0.002478316
2017/2/16 0:00,-0.013513719,0.006518321,-0.037931222
2017/2/17 0:00,0.013513719,-0.003719551,-0.015584731
2017/2/21 0:00,-0.006023047,-0.006605208,0.023286951
2017/2/22 0:00,-0.037658324,0.000312549,-0.025908185
2017/2/23 0:00,-0.017495328,0.010445258,0.015625318
2017/2/24 0:00,0.021546153,0.000185534,0.042990185
2017/2/27 0:00,0.001468968,0.003272113,0
2017/2/28 0:00,-0.00773627,0.000369754,0.048318577
2017/3/3 0:00,-0.02258937,0.005335993,0.012300278
2017/3/6 0:00,0.006346857,0.001484047,0.004878058
2017/3/7 0:00,0.012941575,-0.000247188,0.007272759
2017/3/8 0:00,0.005495526,-0.00819168,-0.019512814
2017/3/9 0:00,-0.005128216,0.004042168,-0.002466092
2017/3/10 0:00,0.00146789,0.008404969,-0.007434978
2017/3/13 0:00,0.029626444,-0.00092356,0.019705071
2017/3/14 0:00,0.008507673,-0.003579146,0.002436055
